ecosystem_id,source_project_id,project_scope,company,project_name,project_type,project_type_standardized,project_group,scheme,state,approval_date,approval_year,investment_crore,project_outlay_crore,financial_measure_type,financial_measure_crore,capacity_value,capacity_unit,capacity_category,technology,technology_partner,application,chip_node,source_document,source_url,source_authority,data_quality_flag,credit_search_company,_company_key,observed_company_credit_distress_target,ml_eligible_credit_distress_target,target_evidence_source,target_evidence_quality,temporal_validation
MFG-0011,SEM-0011,Manufacturing,Crystal Matrix Limited,,Compound Semiconductor Fab + ATMP,FAB,Fabrication,India Semiconductor Mission,Gujarat,2026-05-05,2026.0,3068.0,,Manufacturing Project Investment,3068.0,72000.0,sq metres display panels/year,Display Capacity,"GaN compound semiconductor fabrication; Mini/Micro-LED display modules; GaN foundry services including epitaxy on 6-inch wafers; additional capacity: 24,000 sets of RGB GaN wafers/year",,,,PIB Cabinet Release ID 2258116 / PIB Crystal Matrix Fact Sheet,,"Press Information Bureau, Government of India",OK,Crystal Matrix Limited,crystalmatrix,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
MFG-0012,SEM-0012,Manufacturing,Suchi Semicon Private Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Gujarat,2026-05-05,2026.0,868.0,,Manufacturing Project Investment,868.0,1033.2,million chips/year,Annual Chip Capacity,OSAT for discrete semiconductors; Lead Frame and Wirebond Packaging,,,,PIB Cabinet Release ID 2258116 / PIB Suchi Semicon Fact Sheet,,"Press Information Bureau, Government of India",OK,Suchi Semicon Private Limited,suchisemicon,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-001,DLI-001,Semiconductor Design,Fermionic Design Pvt. Ltd.,A 4-channel Mux-Demux Gain Phase Shifter for Hybrid Beamformer in 8-12GHz for satellite communication and 5G Antenna Array systems,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,10.4719,DLI Project Outlay,10.4719,,,,RF/Radar; 5G,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Fermionic Design Pvt. Ltd.,fermionicdesign,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-002,DLI-002,Semiconductor Design,Morphing Machines Pvt. Ltd.,"SoC, IP and Accelerator card powered by REDEFINE architecture and Ecosystem",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,20.4883,DLI Project Outlay,20.4883,,,,SoC; AI Accelerator,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Morphing Machines Pvt. Ltd.,morphingmachines,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-003,DLI-003,Semiconductor Design,Calligo Technologies Pvt. Ltd.,SoC with RISC V and POSIT Coprocessor based Accelerator Card with Software Ecosystem,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,41.9275,DLI Project Outlay,41.9275,,,,SoC; RISC-V; AI Accelerator; Processor,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Calligo Technologies Pvt. Ltd.,calligotechnologies,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-004,DLI-004,Semiconductor Design,Sensesemi Technologies Pvt. Ltd.,SenseSoC-200 SoC for IOT and Medical Applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,39.0702,DLI Project Outlay,39.0702,,,,SoC,,IoT; Medical,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Sensesemi Technologies Pvt. Ltd.,sensesemitechnologies,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-005,DLI-005,Semiconductor Design,Saankhya Labs Pvt. Ltd.,SoC for Baseband Processing for 5G Telecom infrastructure,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,25.5877,DLI Project Outlay,25.5877,,,,SoC; 5G,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Saankhya Labs Pvt. Ltd.,saankhyalabs,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-006,DLI-006,Semiconductor Design,Aryabhata Circuits and Research Labs Pvt. Ltd.,Next Generation IC for Advanced Tire Monitoring System (TMS),Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,40.954899999999995,DLI Project Outlay,40.954899999999995,,,,,,Automotive,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Aryabhata Circuits and Research Labs Pvt. Ltd.,aryabhatacircuitsandresearchlabs,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-007,DLI-007,Semiconductor Design,BigEndian Semiconductors Pvt. Ltd.,"SoC for Video Audio Surveillance Unit, Design and Development",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,31.08,DLI Project Outlay,31.08,,,,SoC,,Surveillance,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,BigEndian Semiconductors Pvt. Ltd.,bigendiansemiconductors,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-008,DLI-008,Semiconductor Design,C2i Semiconductors Pvt. Ltd.,A Digital Multiphase Controller IC for Enterprise Server Power,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,83.75200000000001,DLI Project Outlay,83.75200000000001,,,,,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,C2i Semiconductors Pvt. Ltd.,c2isemiconductors,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-009,DLI-009,Semiconductor Design,MMRFIC Technology Pvt. Ltd.,Indigenous Ka-Band Beamformer RADAR Chip,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,12.5304,DLI Project Outlay,12.5304,,,,RF/Radar,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,MMRFIC Technology Pvt. Ltd.,mmrfictechnology,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-010,DLI-010,Semiconductor Design,Sophrosyne Technologies Pvt. Ltd.,"High-precision, Ultra-low-power SoC for real-time monitoring of cardiac activity and other vital health parameters",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,21.471,DLI Project Outlay,21.471,,,,SoC,,Medical,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Sophrosyne Technologies Pvt. Ltd.,sophrosynetechnologies,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-011,DLI-011,Semiconductor Design,Aagyavision Pvt. Ltd.,Radar RF chips for edge applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,25.479,DLI Project Outlay,25.479,,,,RF/Radar,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Aagyavision Pvt. Ltd.,aagyavision,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-012,DLI-012,Semiconductor Design,Aheesa Digital Innovations Pvt. Ltd.,VEGA Processor based GPON ONT and Network SoC for FTTX and Broadband applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,41.4,DLI Project Outlay,41.4,,,,SoC; Processor,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Aheesa Digital Innovations Pvt. Ltd.,aheesadigitalinnovations,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-013,DLI-013,Semiconductor Design,Mindgrove Technologies Pvt. Ltd.,Vision SoC using Shakti processor for Edge Computing,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,47.86109999999999,DLI Project Outlay,47.86109999999999,,,,SoC; Processor,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Mindgrove Technologies Pvt. Ltd.,mindgrovetechnologies,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-014,DLI-014,Semiconductor Design,InCore Semiconductors Pvt. Ltd.,RISC-V multi-core super scalar processor for smartphones and edge AI,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,17.43,DLI Project Outlay,17.43,,,,RISC-V; Processor,,Artificial Intelligence,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,InCore Semiconductors Pvt. Ltd.,incoresemiconductors,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-015,DLI-015,Semiconductor Design,MBit Wireless Pvt. Ltd.,Dualmode LTE Cat bis and NBIoT Baseband chipset for IoT applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,65.36,DLI Project Outlay,65.36,,,,NB-IoT,,IoT,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,MBit Wireless Pvt. Ltd.,mbitwireless,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-016,DLI-016,Semiconductor Design,Netrasemi Pvt. Ltd.,A High-End Edge-AI SoC with on-chip video analytics and vector processing computing,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Kerala,,,,44.3,DLI Project Outlay,44.3,,,,SoC,,Artificial Intelligence,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Netrasemi Pvt. Ltd.,netrasemi,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-017,DLI-017,Semiconductor Design,Netrasemi Pvt. Ltd.,"Development of ML Acceleration chip with Programmable Hardware Infrastructure for Robots, Drones, Industrial automation and Video Analytics systems (64 TOPS AI performance) on 12nm, TSMC",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Kerala,,,,61.25,DLI Project Outlay,61.25,,,,AI Accelerator,,Artificial Intelligence; Industrial; Robotics/Drones,12 nm,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Netrasemi Pvt. Ltd.,netrasemi,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-018,DLI-018,Semiconductor Design,Green PMU Semi Pvt. Ltd.,Energy-Harvesting power management Chip for IoT applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Telangana,,,,9.86,DLI Project Outlay,9.86,,,,Power Management IC,,IoT; Energy,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Green PMU Semi Pvt. Ltd.,greenpmusemi,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-019,DLI-019,Semiconductor Design,WiSig Networks Pvt. Ltd.,A 5G NB-IoT based SoC for Terrestrial and Satcom Applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Telangana,,,,25.5557,DLI Project Outlay,25.5557,,,,SoC; 5G; NB-IoT,,Telecommunications; IoT,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,WiSig Networks Pvt. Ltd.,wisignetworks,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-020,DLI-020,Semiconductor Design,MosChip Technologies Pvt. Ltd.,Smart Energy Meter IC-VIDYUT,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Telangana,,,,40.0,DLI Project Outlay,40.0,,,,,,Energy,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,MosChip Technologies Pvt. Ltd.,moschiptechnologies,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-021,DLI-021,Semiconductor Design,Multi Nano Sense Technologies Pvt. Ltd.,MEMS Platform Gas Sensors and CMOS Data Acquisition AFE SoC,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Maharashtra,,,,29.53,DLI Project Outlay,29.53,,,,SoC; MEMS; CMOS,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Multi Nano Sense Technologies Pvt. Ltd.,multinanosensetechnologies,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-022,DLI-022,Semiconductor Design,Vervesemi Microelectronics Pvt. Ltd.,A Mixed Signal Microcontroller for Motor Control and Smart Power Applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Uttar Pradesh,,,,29.64,DLI Project Outlay,29.64,,,,Microcontroller; Mixed Signal,,Automotive,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Vervesemi Microelectronics Pvt. Ltd.,vervesemimicroelectronics,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-023,DLI-023,Semiconductor Design,Incise Infotech Limited,A Linear LED Driver IC,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Uttar Pradesh,,,,4.28,DLI Project Outlay,4.28,,,,LED Driver IC,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,Incise Infotech Limited,inciseinfotech,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
DLI-024,DLI-024,Semiconductor Design,DV2JS Innovation LLP,"LowLight Image Sensor with SinglePhoton Detection for Security, Surveillance, Automobile Cameras",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Delhi,,,,7.48,DLI Project Outlay,7.48,,,,Image Sensor,,Automotive; Surveillance,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,DV2JS Innovation LLP,dv2jsinnovation,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,NOT_APPLICABLE_UNLABELED
