candidate_id,company_candidate,project_type_candidate,state_candidates,investment_candidates_crore,capacity_candidates,source_document,source_page,evidence_project_signal,evidence_company_signal,evidence_investment_signal,evidence_capacity_signal,evidence_state_signal,duplicate_company_similarity,matched_existing_project,duplicate_flag,policy_reference_flag,evidence_strength,recommended_action,verified_company_final,verified_project_type_final,verified_state_final,verified_investment_final,verified_capacity_final,verified_approval_date_final,verification_decision
EXP-CAND-0016,"Terracarb, Graphenera, and masterbatch manufacturers including Bhagyashree and Indradhanush",Semiconductor Fab,,1.0,,MeitY_Annual_Report_2025_26.pdf,153,2,1,1,0,0,0.2639,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0007,The Scheme extends an incentive of around 5% (based,ATMP,,856.64; 2430.0; 16531.64; 17000.0; 20000.0; 20488.0; 22081.0; 49352.0; 76000.0,,MeitY_Annual_Report_2025_26.pdf,91,1,1,1,0,0,0.3301,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0026,"Electronics Manufacturing, Scheme for Promotion",,,189934.0; 241157.0; 620752.0; 727664.0,,MeitY_Annual_Report_2024_25.pdf,68,1,1,1,0,0,0.4615,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0047,"appliances, industrial electronics, automobiles, telecommunications, aerospace, and power electronics",ATMP,,15.0; 1000.0; 8000.0,,ISM_Approved_Projects_Feb2026.pdf,4,1,1,1,0,0,0.365,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0045,"Semiconductors are the backbone of modern electronics, powering computers, mobile devices,",Compound Semiconductor,,76000.0,,ISM_Approved_Projects_Feb2026.pdf,2,1,1,1,0,0,0.4538,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0021,"Ministry of Electronics & Information Technology, Government of India RAnnEuaPl ORT 299",Semiconductor Fab,,18.04; 50.5,,MeitY_Annual_Report_2025_26.pdf,301,2,1,1,0,0,0.3652,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0048,Design Linked Incentive Scheme (Design Semiconductor IP cores to,ATMP,,4000.0; 11000.0,,ISM_Approved_Projects_Feb2026.pdf,5,2,1,1,0,0,0.25,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0029,incentives as well as design infrastructure • The India Semiconductor Mission acts as,ATMP,,15.0; 30.0; 22516.0,,MeitY_Annual_Report_2024_25.pdf,78,2,1,1,0,0,0.3902,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0014,has been incubated recently for the product Educational,Semiconductor Fab,Delhi,10.0; 10.79; 13.08; 35.32; 41.6; 60.0; 83.08; 300.0,,MeitY_Annual_Report_2025_26.pdf,103,2,1,1,0,1,0.3125,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0038,opportunities include implementing the R&D,Semiconductor Fab,,250.0; 1000.0; 76000.0,,MeitY_Annual_Report_2024_25.pdf,129,2,1,1,0,0,0.3542,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0034,Technologies to enable cost effective electronic,Semiconductor Fab,,34.65; 41.6; 83.89,,MeitY_Annual_Report_2024_25.pdf,86,2,1,1,0,0,0.35,,False,False,MODERATE,SOURCE PAGE VERIFICATION,,,,,,,PENDING
EXP-CAND-0050,Advancing Indigenous Microprocessors and Core Semiconductor Technologies,Advanced Packaging,,,,ISM_Approved_Projects_Feb2026.pdf,7,2,1,0,0,0,0.378,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0003,"74% of national income in 2022–23, valued at INR",Semiconductor Fab,,,,MeitY_Annual_Report_2025_26.pdf,54,2,1,0,0,0,0.4651,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0006,Industrial electronics is an empirical barometer of overall growth in the contribution of the manufacturing sector,ATMP,,,,MeitY_Annual_Report_2025_26.pdf,85,2,1,0,0,0,0.3151,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0036,included DPI and the achievements of the G20 in Lanka on digital transformation took place on,,Delhi,,,MeitY_Annual_Report_2024_25.pdf,92,0,1,0,0,1,0.3433,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0019,"Key objectives include promoting awareness of cyber laws, enhancing data security, enabling",Semiconductor Fab,Bihar; West Bengal,250.0,,MeitY_Annual_Report_2025_26.pdf,201,2,1,1,0,1,0.3101,,False,True,WEAK,LIKELY NON-PROJECT — REVIEW,,,,,,,PENDING
EXP-CAND-0043,6 R&D in IT/Electronics/ CCBT 1249,ATMP,,,,MeitY_Annual_Report_2024_25.pdf,281,1,1,0,0,0,0.4923,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0044,,,,1000.0,,ISM_Approved_Projects_Feb2026.pdf,1,0,0,1,0,0,0.0,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0033,Semiconductor Order has been migrated to BIS Act 2016 as “Electronics,,,,,MeitY_Annual_Report_2024_25.pdf,84,1,1,0,0,0,0.32,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0035,Minister of Electronics and Information Technology,,,,,MeitY_Annual_Report_2024_25.pdf,90,0,1,0,0,0,0.4878,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0039,"to leverage 40 start-ups over the period of 5 with Electronics & IT Dept, Govt",,Odisha; Delhi,,,MeitY_Annual_Report_2024_25.pdf,145,0,1,0,0,1,0.3551,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0001,1 Electronics Component Manufacturing Scheme (ECMS),,,,,MeitY_Annual_Report_2025_26.pdf,8,1,1,0,0,0,0.4691,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0010,"mobility, computing, communications etc namely - DV2JS Innovation LLP, Vervesemi Microelectronics, Fermionic",,,,,MeitY_Annual_Report_2025_26.pdf,94,0,1,0,0,0,0.2836,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0027,with the objective of progressively increasing the,ATMP,,,,MeitY_Annual_Report_2024_25.pdf,69,1,1,0,0,0,0.3902,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0051,Lab at NIELIT Calicut supports large scale training in semiconductor technologies,ATMP,,,,ISM_Approved_Projects_Feb2026.pdf,8,2,1,0,0,0,0.3824,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0032,through the official handle (Electronics Gol) of the IPHW,Packaging,,,,MeitY_Annual_Report_2024_25.pdf,83,1,1,0,0,0,0.4598,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0017,Training and fellowship activities have included M,,,264.62; 490.0,,MeitY_Annual_Report_2025_26.pdf,162,0,1,1,0,0,0.3556,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0015,3 Initiatives under Microelectronics and Nanotechnology areas,,,1000.0; 76000.0,,MeitY_Annual_Report_2025_26.pdf,146,0,1,1,0,0,0.4516,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0041,"• One time support for 250 Candidates (50 Technologies, etc",,,481.93,,MeitY_Annual_Report_2024_25.pdf,174,0,1,1,0,0,0.4182,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0031,in semiconductors and electronics,,Delhi,,,MeitY_Annual_Report_2024_25.pdf,81,1,1,0,0,1,0.4308,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0005,"Down (SKD) to Completely Knocked Down (CKD) level, thereby increasing the domestic value addition",,,,,MeitY_Annual_Report_2025_26.pdf,83,0,1,0,0,0,0.2879,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0037,"included skill development, joint R&D in advanced and Investment Committee under the Strategic",Compound Semiconductor,Delhi,,,MeitY_Annual_Report_2024_25.pdf,93,1,1,0,0,1,0.3459,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0018,"reliance, and inclusive development",,,1.5,,MeitY_Annual_Report_2025_26.pdf,197,0,1,1,0,0,0.3733,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0020,"17 Electronics & ICT Academy Scheme, Phase-II",Semiconductor Fab,,89.87,,MeitY_Annual_Report_2025_26.pdf,299,2,1,1,0,0,0.4865,,False,True,WEAK,LIKELY NON-PROJECT — REVIEW,,,,,,,PENDING
EXP-CAND-0049,"Since its launch in December 2021, the Design Linked Incentive Scheme has played a pivotal role in",,,2.25; 430.0,,ISM_Approved_Projects_Feb2026.pdf,6,0,1,1,0,0,0.2632,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0013,"7 Investment Promotion Roadshow for Electronics Component Manufacturing Scheme (ECMS), Taiwan",Semiconductor Manufacturing,,,,MeitY_Annual_Report_2025_26.pdf,100,2,1,0,0,0,0.3607,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0012,• Applied Materials Inc,Packaging,Karnataka,,,MeitY_Annual_Report_2025_26.pdf,97,1,1,0,0,1,0.4651,,False,False,WEAK,INSUFFICIENT EVIDENCE,,,,,,,PENDING
EXP-CAND-0002,"Incentive (PLI) Scheme, the Semicon India Programme (SIP), the Scheme for Promotion of Manufacturing of Electronic",,,,,MeitY_Annual_Report_2025_26.pdf,14,1,1,0,0,0,0.3108,,False,True,WEAK,LIKELY NON-PROJECT — REVIEW,,,,,,,PENDING
EXP-CAND-0046,Micron Technology Inc,Packaging,Andhra Pradesh; Assam; Gujarat; Odisha; Punjab; Uttar Pradesh; Delhi,117.0; 480.0; 1943.0; 2066.0; 3307.0; 3706.0; 7584.0; 22516.0; 27120.0; 91526.0,"14 million units; 48 million units; 6.33 million chips; 36 million chips; 4.20 million units; 8 million units; 158.38 million units; 96 million units; 8 million units/month; 5,000 wafers/month",ISM_Approved_Projects_Feb2026.pdf,3,3,1,1,1,1,1.0,SEM-0001,True,False,DUPLICATE,DO NOT ADD — CHECK EXISTING PROJECT,,,,,,,PENDING
