project_id,company,field,verified_value,unit,evidence_scope,banking_usability,source_type,source_document,source_url,source_date,verification_status,interpretation
SEM-0012,Suchi Semicon Private Limited,public_project_cost_crore,868,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT_OR_ISSUER,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2258119,,SOURCE_VERIFIED,"Public project investment/project-cost evidence only. Not bank debt, sanctioned exposure or EAD."
SEM-0001,Micron Technology Inc.,micron_company_investment_usd_mn,825,USD million,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_COMPANY,Micron India facility announcement,https://investors.micron.com/news/press-release/2023/Micron-Announces-New-Semiconductor-Assembly-and-Test-Facility-in-India-06-22-2023/default.aspx,2023-06-22,SOURCE_VERIFIED,Micron states investment of up to USD 825 million over two phases.
SEM-0001,Micron Technology Inc.,central_fiscal_support_pct,50,percent of total project cost,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_COMPANY,Micron India facility announcement,https://investors.micron.com/news/press-release/2023/Micron-Announces-New-Semiconductor-Assembly-and-Test-Facility-in-India-06-22-2023/default.aspx,2023-06-22,SOURCE_VERIFIED,Government fiscal support. Not treated as bank financing.
SEM-0001,Micron Technology Inc.,state_incentive_pct,20,percent of total project cost,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_COMPANY,Micron India facility announcement,https://investors.micron.com/news/press-release/2023/Micron-Announces-New-Semiconductor-Assembly-and-Test-Facility-in-India-06-22-2023/default.aspx,2023-06-22,SOURCE_VERIFIED,Gujarat incentive representation stated by Micron. Not treated as bank financing.
SEM-0001,Micron Technology Inc.,project_status,COMMERCIAL_FACILITY_OPENED,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_COMPANY,Micron Sanand facility opening,https://investors.micron.com/news/press-release/2026/Micron-Celebrates-Opening-of-Indias-First-Semiconductor-Assembly-and-Test-Facility-02-28-2026/default.aspx,2026-02-28,SOURCE_VERIFIED,Micron announced opening of the Sanand assembly and test facility.
SEM-0002,Tata Electronics Private Limited,fiscal_support_agreement,SIGNED,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,India Semiconductor Mission / Tata Fiscal Support Agreement,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=2108602,2025-03-05,SOURCE_VERIFIED,Confirms government fiscal-support agreement. Does not disclose sanctioned bank debt.
SEM-0003,Tata Electronics Private Limited,construction_commencement,CONSTRUCTION_COMMENCED,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB Tata Assam construction commencement,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=2041162,2024-08-03,SOURCE_VERIFIED,Government release confirms commencement of construction.
SEM-0003,Tata Electronics Private Limited,project_status,PHASE_1_EXPECTED_COMMISSIONING_APRIL_2026,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,Status statement from government project summary; not treated as contractual DCCO.
SEM-0004,CG Power and Industrial Solutions Limited,central_government_support_crore,3501,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_COMPANY,CG Power Preliminary Placement Document,https://www.cgglobal.com/admin/uploads/CGPowerPPD.pdf,,SOURCE_VERIFIED,Maximum government subsidy disclosed for the OSAT project. Not bank debt.
SEM-0004,CG Power and Industrial Solutions Limited,specified_net_proceeds_for_osat_crore,1062.85,INR crore,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_COMPANY,CG Power Preliminary Placement Document,https://www.cgglobal.com/admin/uploads/CGPowerPPD.pdf,,SOURCE_VERIFIED,Amount CG Power states it intends to deploy from placement net proceeds toward the OSAT facility.
SEM-0004,CG Power and Industrial Solutions Limited,balance_funding_source,Government subsidies / internal accruals / equity / debt / other permissible means,text,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_COMPANY,CG Power Preliminary Placement Document,https://www.cgglobal.com/admin/uploads/CGPowerPPD.pdf,,SOURCE_VERIFIED,"Because debt is only one possible funding source, no sanctioned-debt value is inferred."
SEM-0004,CG Power and Industrial Solutions Limited,fiscal_support_agreement,SIGNED,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB CG Power FSA,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2093860,2025-01-17,SOURCE_VERIFIED,Fiscal Support Agreement confirmed.
SEM-0005,Kaynes Technology India Limited,project_status,PILOT_FACILITY_OPERATIONAL,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,Public implementation-status signal. Not contractual DCCO.
SEM-0007,3D Glass Solutions Inc.,project_status,INITIAL_PHASE,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,Public implementation-status signal. Not contractual DCCO.
SEM-0008,SiCSem Private Limited,project_status,CONSTRUCTION_PROGRESSING,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,Public implementation-status signal. Not contractual DCCO.
SEM-0009,Continental Device India Private Limited,project_status,RECENTLY_APPROVED_OR_INITIAL_PHASE,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,Public implementation-status signal. Not contractual DCCO.
SEM-0010,Advanced System in Package Technologies Private Limited,project_status,INITIAL_PHASE,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,SOURCE_VERIFIED,Public implementation-status signal. Not contractual DCCO.
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,entity_reconciliation_status,REVIEW_REQUIRED,status,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,ENTITY_RECONCILIATION_REQUIRED,Current government semiconductor summary describes the Uttar Pradesh project as an HCL-Foxconn JV. Do not automatically treat it as identical to the existing canonical Vama/Foxconn entity without reconciliation.
SEM-0010,Advanced System in Package Technologies Private Limited,canonical_vs_public_cost_review,CANONICAL_480_VS_PUBLIC_APPROX_468,review flag,PROJECT_OR_PUBLIC_EVIDENCE,SUPPORTING_EVIDENCE,PRIMARY_GOVERNMENT,PIB semiconductor ecosystem status,https://www.pib.gov.in/PressNoteDetails.aspx?ModuleId=3&NoteId=155130&id=155130,,VALUE_CONFLICT_REVIEW,Do not overwrite canonical investment automatically. Public government summary reports approximately INR 468 crore whereas current canonical data contains INR 480 crore.
SEM-0005,Kaynes Technology India Limited,borrower_bank_facilities_rated_crore,770,INR crore,BORROWER_LEVEL,BORROWER_CREDIT_USABLE,CRA,CRISIL Rating Rationale,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/KaynesTechnologyIndiaLimited_May%2030_%202025_RR_369849.html,2025-05-30,SOURCE_VERIFIED,Rated borrower-level bank facilities. Not automatically treated as OSAT project debt.
SEM-0005,Kaynes Technology India Limited,borrower_interest_coverage_ratio,4.08,times,BORROWER_LEVEL,BORROWER_CREDIT_USABLE,CRA,CRISIL Rating Rationale,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/KaynesTechnologyIndiaLimited_May%2030_%202025_RR_369849.html,2025-05-30,SOURCE_VERIFIED,FY2025 borrower/group-level interest coverage. Not project-level DSCR.
SEM-0005,Kaynes Technology India Limited,osat_hdpcb_capex_plan_crore,4700,INR crore,GROUP_CAPEX,PROJECT_CONTEXT_ONLY,CRA,CRISIL Rating Rationale,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/KaynesTechnologyIndiaLimited_May%2030_%202025_RR_369849.html,2025-05-30,SOURCE_VERIFIED,Combined planned capex for OSAT and HDPCB divisions.
SEM-0005,Kaynes Technology India Limited,planned_government_grant_share_pct,55,percent,GROUP_CAPEX,PROJECT_CONTEXT_ONLY,CRA,CRISIL Rating Rationale,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/KaynesTechnologyIndiaLimited_May%2030_%202025_RR_369849.html,2025-05-30,SOURCE_VERIFIED,Approximate planned grant contribution to OSAT/HDPCB capex.
SEM-0005,Kaynes Technology India Limited,planned_internal_funding_share_pct,27.5,percent midpoint,GROUP_CAPEX,PROJECT_CONTEXT_ONLY,CRA,CRISIL Rating Rationale,https://www.crisil.com/mnt/winshare/Ratings/RatingList/RatingDocs/KaynesTechnologyIndiaLimited_May%2030_%202025_RR_369849.html,2025-05-30,DERIVED_FROM_DISCLOSED_RANGE,CRISIL states approximately 25–30% internal funding. 27.5% is only the midpoint representation for descriptive analysis.
SEM-0004,CG Power and Industrial Solutions Limited,borrower_bank_loan_facilities_crore,45.21,INR crore,BORROWER_LEVEL,BORROWER_CREDIT_USABLE,CRA,India Ratings Rating Action,https://www.indiaratings.co.in/pressrelease/81946,2026-03-18,SOURCE_VERIFIED,Aggregate rated borrower-level bank loan facilities from listed limits. Not assumed to finance the semiconductor OSAT project.
SEM-0004,CG Power and Industrial Solutions Limited,borrower_external_rating,IND AA+ / Stable,rating,BORROWER_LEVEL,BORROWER_CREDIT_USABLE,CRA,India Ratings Rating Action,https://www.indiaratings.co.in/pressrelease/81946,2026-03-18,SOURCE_VERIFIED,Issuer / bank-facility credit evidence.
SEM-0009,Continental Device India Private Limited,borrower_long_term_bank_facilities_crore,2.4,INR crore,BORROWER_LEVEL,BORROWER_CREDIT_USABLE,CRA,CareEdge Ratings Press Release,https://www.careratings.com/upload/CompanyFiles/PR/202502120241_Continental_Device_India_Private_Limited.pdf,2025-02-24,SOURCE_VERIFIED,Borrower-level long-term bank facilities. Not automatically semiconductor project debt.
SEM-0009,Continental Device India Private Limited,borrower_external_rating,CARE BBB / Stable,rating,BORROWER_LEVEL,BORROWER_CREDIT_USABLE,CRA,CareEdge Ratings Press Release,https://www.careratings.com/upload/CompanyFiles/PR/202502120241_Continental_Device_India_Private_Limited.pdf,2025-02-24,SOURCE_VERIFIED,Long-term borrower-level credit rating.
