source_name,source_url,evidence_text,companies_detected
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,"The Government is promoting semiconductor design capabilities through the Design Linked Incentive (DLI) Scheme, which aims to support domestic companies, start-ups, and MSMEs in designing semiconductor IP cores, ASICs (Application-Specific Integrated Circuits), SoCs (System on Chip), and semiconductor-linked designs through a three-tier framework, comprising: Design Infrastructure Support with access to EDA tools, IP cores, MPW services, and prototyping facilities; Product Design Linked Incentive offering reimbursement of up to 50% of eligible project costs, capped at Rs.",Application-Specific Integrated Circuits
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,"Under the DLI Scheme: 24 projects have been approved for the design of semiconductor chips and SoCs for sectors such as video surveillance, drone detection, energy metering, microprocessors, satellite communications, and broadband and IoT SoCs.",
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,103 fabless chip design companies have been supported with access to advanced chip design infrastructure.,
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,"10 patents have been filed, and 140+ reusable semiconductor IP cores developed, serving as critical enablers for advanced chip design.",
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,"The Government is promoting semiconductor design capabilities through the Design Linked Incentive (DLI) Scheme, which aims to support domestic companies, start-ups, and MSMEs in designing semiconductor IP cores, ASICs (Application-Specific Integrated Circuits), SoCs (System on Chip), and semiconductor-linked designs through a three-tier framework, comprising: Design Infrastructure Support with access to EDA tools, IP cores, MPW services, and prototyping facilities; Product Design Linked Incentive offering reimbursement of up to 50% of eligible project costs, capped at Rs.",Application-Specific Integrated Circuits
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,"Under the DLI Scheme: 24 projects have been approved for the design of semiconductor chips and SoCs for sectors such as video surveillance, drone detection, energy metering, microprocessors, satellite communications, and broadband and IoT SoCs.",
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,103 fabless chip design companies have been supported with access to advanced chip design infrastructure.,
PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1,"10 patents have been filed, and 140+ reusable semiconductor IP cores developed, serving as critical enablers for advanced chip design.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,Press Release Page | Press Information Bureau Ministry of Electronics & IT DLI Scheme-backed Chip Design Startup — Vervesemi Microelectronics Raises $10 Million In A Series A Funding Round Supported by the Govt.,Vervesemi Microelectronics
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"— Vervesemi Taped out Designs for Motor Controller Chips for BLDC Fans, EVs And Drones, And Data Acquisition Chips for Avionics and Space Sector Holds Strong portfolio of 140+ semiconductor IPs, 25 Chip Variants, 10 granted patents, and 5 Trade Secrets Posted On: 18 FEB 2026 4:49PM by PIB Delhi Semiconductor chip design is a critical value driver across the semiconductor value chain, defining system architecture, performance, functionality and security, while contributing up to half of the overall value addition and accounting for 15–35% of the bill of materials (BOM) cost of electronic products.",PIB Delhi Semiconductor
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"Recognising the pivotal role of design in the country’s strategic technological ambitions, the Design Linked Incentive (DLI) Scheme, under the Semicon India Programme, has approved 24 semiconductor design projects from domestic startups and MSMEs for financial support.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"More than 400 organisations (including over 100 startups and 300 academic institutions) have been granted access to advanced chip design tools hosted centrally at C-DAC Bengaluru, cumulatively utilising 2.25 crore hours of tool usage, making this one of the largest user bases globally.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"Vervesemi Microelectronics Among these, Vervesemi Microelectronics, the first company approved under the Government of India’s DLI Scheme and also supported under the Chips to Startup (C2S) programme, was founded in 2017 by industry veterans with experience at global semiconductor company.",Vervesemi Microelectronics
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"The investment in Vervesemi reiterates that structured support under the DLI Scheme has strengthened investor confidence and improved commercial viability, leading investors to actively evaluate and commit capital to DLI-approved companies.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"Conclusion In less than a year since the announcement by the Minister, the progress achieved by Vervesemi, both in attracting investment and in user adoption, demonstrates that DLI-supported firms are delivering multiple chip tape-outs, silicon-proven designs, patents, reusable IPs, trained talent and operational design infrastructure, creating tangible on-ground impact.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"The DLI Scheme anchors India in the strategic chip design segment by reducing dependence on imports, enhancing resilience to supply-chain disruptions, and ensuring access to critical technologies for defence, telecom, AI and mobility, thereby supporting long-term economic growth.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"**** MSZ (Release ID: 2229659) Visitor Counter : 1356 Read this release in: Urdu , हिन्दी , Telugu Ministry of Electronics & IT DLI Scheme-backed Chip Design Startup — Vervesemi Microelectronics Raises $10 Million In A Series A Funding Round Supported by the Govt.",Vervesemi Microelectronics
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"— Vervesemi Taped out Designs for Motor Controller Chips for BLDC Fans, EVs And Drones, And Data Acquisition Chips for Avionics and Space Sector Holds Strong portfolio of 140+ semiconductor IPs, 25 Chip Variants, 10 granted patents, and 5 Trade Secrets Posted On: 18 FEB 2026 4:49PM by PIB Delhi Semiconductor chip design is a critical value driver across the semiconductor value chain, defining system architecture, performance, functionality and security, while contributing up to half of the overall value addition and accounting for 15–35% of the bill of materials (BOM) cost of electronic products.",PIB Delhi Semiconductor
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"Recognising the pivotal role of design in the country’s strategic technological ambitions, the Design Linked Incentive (DLI) Scheme, under the Semicon India Programme, has approved 24 semiconductor design projects from domestic startups and MSMEs for financial support.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"More than 400 organisations (including over 100 startups and 300 academic institutions) have been granted access to advanced chip design tools hosted centrally at C-DAC Bengaluru, cumulatively utilising 2.25 crore hours of tool usage, making this one of the largest user bases globally.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"Vervesemi Microelectronics Among these, Vervesemi Microelectronics, the first company approved under the Government of India’s DLI Scheme and also supported under the Chips to Startup (C2S) programme, was founded in 2017 by industry veterans with experience at global semiconductor company.",Vervesemi Microelectronics
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"The investment in Vervesemi reiterates that structured support under the DLI Scheme has strengthened investor confidence and improved commercial viability, leading investors to actively evaluate and commit capital to DLI-approved companies.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"Conclusion In less than a year since the announcement by the Minister, the progress achieved by Vervesemi, both in attracting investment and in user adoption, demonstrates that DLI-supported firms are delivering multiple chip tape-outs, silicon-proven designs, patents, reusable IPs, trained talent and operational design infrastructure, creating tangible on-ground impact.",
PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"The DLI Scheme anchors India in the strategic chip design segment by reducing dependence on imports, enhancing resilience to supply-chain disruptions, and ensuring access to critical technologies for defence, telecom, AI and mobility, thereby supporting long-term economic growth.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The programme promoted semiconductor manufacturing, display fabrication, chip design, packaging, testing, talent development, and research collaborations.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The Design Linked Incentive (DLI) Scheme launched in 2021, plays a major role in developing India’s fabless semiconductor ecosystem.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,The scheme covers the full semiconductor design lifecycle.,
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"By strengthening indigenous chip design capabilities, the scheme reduces import dependence and promotes higher domestic value addition in electronics manufacturing.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"As of March 2026, under the DLI Scheme, 24 companies received fiscal support and 105 applicants received EDA tools support.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"Seven chips have been fabricated from 16 tape-outs, including advanced 12 nm designs.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The programme aims to develop 85,000 industry-ready professionals across undergraduate, postgraduate, and doctoral levels in semiconductor and chip design.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"It also supports startup incubation, patent generation, technology transfer, and advanced research in Very Large-Scale Integration (VLSI), Application-Specific Integrated Circuits (ASICs), System-on-Chip (SoC) design, and embedded systems.",Application-Specific Integrated Circuits
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,More than 265 industry-led training programmes have intensified chip design capabilities.,
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The ChipIN Centre at the Semiconductor Laboratory (SCL), Mohali, conducted six shared wafer runs, enabling 122 chip design submissions from 46 institutions.",The ChipIN Centre at the Semiconductor
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"Participating institutions have filed more than 75 patents, while over 500 IP cores, ASICs, and SoC designs are under development.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,These efforts are creating a robust semiconductor talent ecosystem and supporting India's ambition to become a global hub for chip design and manufacturing.,
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"It drives indigenous 6G R&D to build a self-reliant, globally competitive advanced communications ecosystem, with focus on multi-chip modules, SoCs, and advanced IoT applications.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The conference facilitated investment, strategic partnerships, research collaboration, and workforce development across semiconductor design, fabrication, packaging, and manufacturing.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The programme promoted semiconductor manufacturing, display fabrication, chip design, packaging, testing, talent development, and research collaborations.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The Design Linked Incentive (DLI) Scheme launched in 2021, plays a major role in developing India’s fabless semiconductor ecosystem.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,The scheme covers the full semiconductor design lifecycle.,
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"By strengthening indigenous chip design capabilities, the scheme reduces import dependence and promotes higher domestic value addition in electronics manufacturing.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"As of March 2026, under the DLI Scheme, 24 companies received fiscal support and 105 applicants received EDA tools support.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"Seven chips have been fabricated from 16 tape-outs, including advanced 12 nm designs.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The programme aims to develop 85,000 industry-ready professionals across undergraduate, postgraduate, and doctoral levels in semiconductor and chip design.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"It also supports startup incubation, patent generation, technology transfer, and advanced research in Very Large-Scale Integration (VLSI), Application-Specific Integrated Circuits (ASICs), System-on-Chip (SoC) design, and embedded systems.",Application-Specific Integrated Circuits
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,More than 265 industry-led training programmes have intensified chip design capabilities.,
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The ChipIN Centre at the Semiconductor Laboratory (SCL), Mohali, conducted six shared wafer runs, enabling 122 chip design submissions from 46 institutions.",The ChipIN Centre at the Semiconductor
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"Participating institutions have filed more than 75 patents, while over 500 IP cores, ASICs, and SoC designs are under development.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,These efforts are creating a robust semiconductor talent ecosystem and supporting India's ambition to become a global hub for chip design and manufacturing.,
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"It drives indigenous 6G R&D to build a self-reliant, globally competitive advanced communications ecosystem, with focus on multi-chip modules, SoCs, and advanced IoT applications.",
PIB DLI June 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The conference facilitated investment, strategic partnerships, research collaboration, and workforce development across semiconductor design, fabrication, packaging, and manufacturing.",
