ecosystem_id,source_project_id,project_scope,company,project_name,project_type,project_type_standardized,project_group,scheme,state,approval_date,approval_year,investment_crore,project_outlay_crore,financial_measure_type,financial_measure_crore,capacity_value,capacity_unit,capacity_category,technology,technology_partner,application,chip_node,source_document,source_url,source_authority,data_quality_flag,validated_cluster,PC1,PC2
MFG-0011,SEM-0011,Manufacturing,Crystal Matrix Limited,,Compound Semiconductor Fab + ATMP,FAB,Fabrication,India Semiconductor Mission,Gujarat,2026-05-05,2026.0,3068.0,,Manufacturing Project Investment,3068.0,72000.0,sq metres display panels/year,Display Capacity,"GaN compound semiconductor fabrication; Mini/Micro-LED display modules; GaN foundry services including epitaxy on 6-inch wafers; additional capacity: 24,000 sets of RGB GaN wafers/year",,,,PIB Cabinet Release ID 2258116 / PIB Crystal Matrix Fact Sheet,,"Press Information Bureau, Government of India",OK,3,1.915632469030788,-0.1161826416361866
MFG-0012,SEM-0012,Manufacturing,Suchi Semicon Private Limited,,OSAT,OSAT,Packaging_Testing,India Semiconductor Mission,Gujarat,2026-05-05,2026.0,868.0,,Manufacturing Project Investment,868.0,1033.2,million chips/year,Annual Chip Capacity,OSAT for discrete semiconductors; Lead Frame and Wirebond Packaging,,,,PIB Cabinet Release ID 2258116 / PIB Suchi Semicon Fact Sheet,,"Press Information Bureau, Government of India",OK,1,1.7900418575633472,-1.3163996798256834
DLI-001,DLI-001,Semiconductor Design,Fermionic Design Pvt. Ltd.,A 4-channel Mux-Demux Gain Phase Shifter for Hybrid Beamformer in 8-12GHz for satellite communication and 5G Antenna Array systems,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,10.4719,DLI Project Outlay,10.4719,,,,RF/Radar; 5G,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-1.3230595551329414,-1.1319397464354335
DLI-002,DLI-002,Semiconductor Design,Morphing Machines Pvt. Ltd.,"SoC, IP and Accelerator card powered by REDEFINE architecture and Ecosystem",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,20.4883,DLI Project Outlay,20.4883,,,,SoC; AI Accelerator,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,-0.9439487666580147,1.2075062247361328
DLI-003,DLI-003,Semiconductor Design,Calligo Technologies Pvt. Ltd.,SoC with RISC V and POSIT Coprocessor based Accelerator Card with Software Ecosystem,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,41.9275,DLI Project Outlay,41.9275,,,,SoC; RISC-V; AI Accelerator; Processor,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,-0.65235709992145,2.0112321849027515
DLI-004,DLI-004,Semiconductor Design,Sensesemi Technologies Pvt. Ltd.,SenseSoC-200 SoC for IOT and Medical Applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,39.0702,DLI Project Outlay,39.0702,,,,SoC,,IoT; Medical,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,2,-1.651335418244253,-0.6125121996433036
DLI-005,DLI-005,Semiconductor Design,Saankhya Labs Pvt. Ltd.,SoC for Baseband Processing for 5G Telecom infrastructure,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,25.5877,DLI Project Outlay,25.5877,,,,SoC; 5G,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-1.1529644162032784,-0.6630996030049066
DLI-006,DLI-006,Semiconductor Design,Aryabhata Circuits and Research Labs Pvt. Ltd.,Next Generation IC for Advanced Tire Monitoring System (TMS),Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,40.954899999999995,DLI Project Outlay,40.954899999999995,,,,,,Automotive,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,5,-0.9315583302832676,0.0829973203686683
DLI-007,DLI-007,Semiconductor Design,BigEndian Semiconductors Pvt. Ltd.,"SoC for Video Audio Surveillance Unit, Design and Development",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,31.08,DLI Project Outlay,31.08,,,,SoC,,Surveillance,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-0.4996711938366753,0.0918006707995164
DLI-008,DLI-008,Semiconductor Design,C2i Semiconductors Pvt. Ltd.,A Digital Multiphase Controller IC for Enterprise Server Power,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,83.75200000000001,DLI Project Outlay,83.75200000000001,,,,,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-0.2566781382228714,0.7615723042716982
DLI-009,DLI-009,Semiconductor Design,MMRFIC Technology Pvt. Ltd.,Indigenous Ka-Band Beamformer RADAR Chip,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,12.5304,DLI Project Outlay,12.5304,,,,RF/Radar,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-1.298760249571561,-1.064962583088216
DLI-010,DLI-010,Semiconductor Design,Sophrosyne Technologies Pvt. Ltd.,"High-precision, Ultra-low-power SoC for real-time monitoring of cardiac activity and other vital health parameters",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,21.471,DLI Project Outlay,21.471,,,,SoC,,Medical,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,2,-1.169375540925988,-0.695548277158744
DLI-011,DLI-011,Semiconductor Design,Aagyavision Pvt. Ltd.,Radar RF chips for edge applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Karnataka,,,,25.479,DLI Project Outlay,25.479,,,,RF/Radar,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-1.2015630273260396,-0.7970539296993429
DLI-012,DLI-012,Semiconductor Design,Aheesa Digital Innovations Pvt. Ltd.,VEGA Processor based GPON ONT and Network SoC for FTTX and Broadband applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,41.4,DLI Project Outlay,41.4,,,,SoC; Processor,,Telecommunications,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-1.173465555479586,-0.1976776088810453
DLI-013,DLI-013,Semiconductor Design,Mindgrove Technologies Pvt. Ltd.,Vision SoC using Shakti processor for Edge Computing,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,47.86109999999999,DLI Project Outlay,47.86109999999999,,,,SoC; Processor,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-0.5201723331129826,0.5572226649233774
DLI-014,DLI-014,Semiconductor Design,InCore Semiconductors Pvt. Ltd.,RISC-V multi-core super scalar processor for smartphones and edge AI,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,17.43,DLI Project Outlay,17.43,,,,RISC-V; Processor,,Artificial Intelligence,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,-1.1588443504253652,1.137110912082249
DLI-015,DLI-015,Semiconductor Design,MBit Wireless Pvt. Ltd.,Dualmode LTE Cat bis and NBIoT Baseband chipset for IoT applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Tamil Nadu,,,,65.36,DLI Project Outlay,65.36,,,,NB-IoT,,IoT,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,2,-1.1236287382381498,0.3053729257027273
DLI-016,DLI-016,Semiconductor Design,Netrasemi Pvt. Ltd.,A High-End Edge-AI SoC with on-chip video analytics and vector processing computing,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Kerala,,,,44.3,DLI Project Outlay,44.3,,,,SoC,,Artificial Intelligence,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,-0.3291485535808074,3.883070680880526
DLI-017,DLI-017,Semiconductor Design,Netrasemi Pvt. Ltd.,"Development of ML Acceleration chip with Programmable Hardware Infrastructure for Robots, Drones, Industrial automation and Video Analytics systems (64 TOPS AI performance) on 12nm, TSMC",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Kerala,,,,61.25,DLI Project Outlay,61.25,,,,AI Accelerator,,Artificial Intelligence; Industrial; Robotics/Drones,12 nm,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,0,-0.2805499424580466,4.017025007574962
DLI-018,DLI-018,Semiconductor Design,Green PMU Semi Pvt. Ltd.,Energy-Harvesting power management Chip for IoT applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Telangana,,,,9.86,DLI Project Outlay,9.86,,,,Power Management IC,,IoT; Energy,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,2,-1.71150776922505,-1.0359976865408618
DLI-019,DLI-019,Semiconductor Design,WiSig Networks Pvt. Ltd.,A 5G NB-IoT based SoC for Terrestrial and Satcom Applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Telangana,,,,25.5557,DLI Project Outlay,25.5557,,,,SoC; 5G; NB-IoT,,Telecommunications; IoT,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,2,-2.121807935977849,-1.1211263268731024
DLI-020,DLI-020,Semiconductor Design,MosChip Technologies Pvt. Ltd.,Smart Energy Meter IC-VIDYUT,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Telangana,,,,40.0,DLI Project Outlay,40.0,,,,,,Energy,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-0.743561780679177,0.2205095028880616
DLI-021,DLI-021,Semiconductor Design,Multi Nano Sense Technologies Pvt. Ltd.,MEMS Platform Gas Sensors and CMOS Data Acquisition AFE SoC,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Maharashtra,,,,29.53,DLI Project Outlay,29.53,,,,SoC; MEMS; CMOS,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-0.8891411480619769,-0.0482668347883147
DLI-022,DLI-022,Semiconductor Design,Vervesemi Microelectronics Pvt. Ltd.,A Mixed Signal Microcontroller for Motor Control and Smart Power Applications,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Uttar Pradesh,,,,29.64,DLI Project Outlay,29.64,,,,Microcontroller; Mixed Signal,,Automotive,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,5,-1.3649980544639804,-0.190941498381668
DLI-023,DLI-023,Semiconductor Design,Incise Infotech Limited,A Linear LED Driver IC,Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Uttar Pradesh,,,,4.28,DLI Project Outlay,4.28,,,,LED Driver IC,,,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,4,-1.1518046680698115,-0.7849326180757839
DLI-024,DLI-024,Semiconductor Design,DV2JS Innovation LLP,"LowLight Image Sensor with SinglePhoton Detection for Security, Surveillance, Automobile Cameras",Semiconductor Design,DESIGN,Design,Design Linked Incentive (DLI),Delhi,,,,7.48,DLI Project Outlay,7.48,,,,Image Sensor,,Automotive; Surveillance,,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,"Ministry of Electronics and Information Technology, Government of India",VERIFIED_OFFICIAL,5,-1.66016890321655,-0.928190267361493
