validated_cluster,ecosystem_id,company,project_name,project_scope,project_type,project_type_standardized,state,financial_measure_crore,financial_measure_type,technology,application
1,MFG-0010,Advanced System in Package Technologies Private Limited,,Manufacturing,OSAT,OSAT,Andhra Pradesh,480.0,Manufacturing Project Investment,Semiconductor packaging and testing,
2,DLI-015,MBit Wireless Pvt. Ltd.,Dualmode LTE Cat bis and NBIoT Baseband chipset for IoT applications,Semiconductor Design,Semiconductor Design,DESIGN,Tamil Nadu,65.36,DLI Project Outlay,NB-IoT,IoT
2,DLI-004,Sensesemi Technologies Pvt. Ltd.,SenseSoC-200 SoC for IOT and Medical Applications,Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,39.0702,DLI Project Outlay,SoC,IoT; Medical
2,DLI-019,WiSig Networks Pvt. Ltd.,A 5G NB-IoT based SoC for Terrestrial and Satcom Applications,Semiconductor Design,Semiconductor Design,DESIGN,Telangana,25.5557,DLI Project Outlay,SoC; 5G; NB-IoT,Telecommunications; IoT
2,DLI-010,Sophrosyne Technologies Pvt. Ltd.,"High-precision, Ultra-low-power SoC for real-time monitoring of cardiac activity and other vital health parameters",Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,21.471,DLI Project Outlay,SoC,Medical
2,DLI-018,Green PMU Semi Pvt. Ltd.,Energy-Harvesting power management Chip for IoT applications,Semiconductor Design,Semiconductor Design,DESIGN,Telangana,9.86,DLI Project Outlay,Power Management IC,IoT; Energy
3,MFG-0002,Tata Electronics Private Limited,,Manufacturing,Semiconductor Fab,FAB,Gujarat,91526.0,Manufacturing Project Investment,Semiconductor fabrication,
3,MFG-0011,Crystal Matrix Limited,,Manufacturing,Compound Semiconductor Fab + ATMP,FAB,Gujarat,3068.0,Manufacturing Project Investment,"GaN compound semiconductor fabrication; Mini/Micro-LED display modules; GaN foundry services including epitaxy on 6-inch wafers; additional capacity: 24,000 sets of RGB GaN wafers/year",
3,MFG-0008,SiCSem Private Limited,,Manufacturing,Compound Semiconductor Fab + ATMP,FAB,Odisha,2066.0,Manufacturing Project Investment,Silicon Carbide (SiC),
4,MFG-0001,Micron Technology Inc.,,Manufacturing,ATMP,ATMP,Gujarat,22516.0,Manufacturing Project Investment,DRAM and NAND assembly and test,
4,MFG-0007,3D Glass Solutions Inc.,,Manufacturing,Advanced Packaging,Advanced Packaging,Odisha,1943.0,Manufacturing Project Investment,Advanced packaging / glass substrate / 3D heterogeneous integration,
4,MFG-0009,Continental Device India Private Limited,,Manufacturing,Semiconductor Manufacturing,Semiconductor Manufacturing,Punjab,117.0,Manufacturing Project Investment,Silicon and Silicon Carbide discrete semiconductor devices,
4,DLI-008,C2i Semiconductors Pvt. Ltd.,A Digital Multiphase Controller IC for Enterprise Server Power,Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,83.75200000000001,DLI Project Outlay,,
4,DLI-013,Mindgrove Technologies Pvt. Ltd.,Vision SoC using Shakti processor for Edge Computing,Semiconductor Design,Semiconductor Design,DESIGN,Tamil Nadu,47.86109999999999,DLI Project Outlay,SoC; Processor,
4,DLI-012,Aheesa Digital Innovations Pvt. Ltd.,VEGA Processor based GPON ONT and Network SoC for FTTX and Broadband applications,Semiconductor Design,Semiconductor Design,DESIGN,Tamil Nadu,41.4,DLI Project Outlay,SoC; Processor,Telecommunications
4,DLI-020,MosChip Technologies Pvt. Ltd.,Smart Energy Meter IC-VIDYUT,Semiconductor Design,Semiconductor Design,DESIGN,Telangana,40.0,DLI Project Outlay,,Energy
4,DLI-007,BigEndian Semiconductors Pvt. Ltd.,"SoC for Video Audio Surveillance Unit, Design and Development",Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,31.08,DLI Project Outlay,SoC,Surveillance
4,DLI-021,Multi Nano Sense Technologies Pvt. Ltd.,MEMS Platform Gas Sensors and CMOS Data Acquisition AFE SoC,Semiconductor Design,Semiconductor Design,DESIGN,Maharashtra,29.53,DLI Project Outlay,SoC; MEMS; CMOS,
4,DLI-005,Saankhya Labs Pvt. Ltd.,SoC for Baseband Processing for 5G Telecom infrastructure,Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,25.5877,DLI Project Outlay,SoC; 5G,Telecommunications
4,DLI-011,Aagyavision Pvt. Ltd.,Radar RF chips for edge applications,Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,25.479,DLI Project Outlay,RF/Radar,
4,DLI-009,MMRFIC Technology Pvt. Ltd.,Indigenous Ka-Band Beamformer RADAR Chip,Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,12.5304,DLI Project Outlay,RF/Radar,
4,DLI-001,Fermionic Design Pvt. Ltd.,A 4-channel Mux-Demux Gain Phase Shifter for Hybrid Beamformer in 8-12GHz for satellite communication and 5G Antenna Array systems,Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,10.4719,DLI Project Outlay,RF/Radar; 5G,Telecommunications
4,DLI-023,Incise Infotech Limited,A Linear LED Driver IC,Semiconductor Design,Semiconductor Design,DESIGN,Uttar Pradesh,4.28,DLI Project Outlay,LED Driver IC,
5,DLI-006,Aryabhata Circuits and Research Labs Pvt. Ltd.,Next Generation IC for Advanced Tire Monitoring System (TMS),Semiconductor Design,Semiconductor Design,DESIGN,Karnataka,40.954899999999995,DLI Project Outlay,,Automotive
5,DLI-022,Vervesemi Microelectronics Pvt. Ltd.,A Mixed Signal Microcontroller for Motor Control and Smart Power Applications,Semiconductor Design,Semiconductor Design,DESIGN,Uttar Pradesh,29.64,DLI Project Outlay,Microcontroller; Mixed Signal,Automotive
5,DLI-024,DV2JS Innovation LLP,"LowLight Image Sensor with SinglePhoton Detection for Security, Surveillance, Automobile Cameras",Semiconductor Design,Semiconductor Design,DESIGN,Delhi,7.48,DLI Project Outlay,Image Sensor,Automotive; Surveillance
